time,Q,T
0.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.251999999999999957e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
7.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.219999999999999929e+01
1.000000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.100000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.200000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.300000000000000000e+01,7.000000000000000000e+01,2.219999999999999929e+01
1.400000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.500000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.600000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.700000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.800000000000000000e+01,7.000000000000000000e+01,2.251999999999999957e+01
1.900000000000000000e+01,7.000000000000000000e+01,2.283999999999999986e+01
2.000000000000000000e+01,7.000000000000000000e+01,2.283999999999999986e+01
2.100000000000000000e+01,7.000000000000000000e+01,2.316000000000000014e+01
2.200000000000000000e+01,7.000000000000000000e+01,2.316000000000000014e+01
2.300000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.400000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.500000000000000000e+01,7.000000000000000000e+01,2.348000000000000043e+01
2.600000000000000000e+01,7.000000000000000000e+01,2.380999999999999872e+01
2.700000000000000000e+01,7.000000000000000000e+01,2.412999999999999901e+01
2.800000000000000000e+01,7.000000000000000000e+01,2.412999999999999901e+01
2.900000000000000000e+01,7.000000000000000000e+01,2.444999999999999929e+01
3.000000000000000000e+01,7.000000000000000000e+01,2.476999999999999957e+01
3.100000000000000000e+01,7.000000000000000000e+01,2.510000000000000142e+01
3.200000000000000000e+01,7.000000000000000000e+01,2.510000000000000142e+01
3.300000000000000000e+01,7.000000000000000000e+01,2.542000000000000171e+01
3.400000000000000000e+01,7.000000000000000000e+01,2.573999999999999844e+01
3.500000000000000000e+01,7.000000000000000000e+01,2.605999999999999872e+01
3.600000000000000000e+01,7.000000000000000000e+01,2.605999999999999872e+01
3.700000000000000000e+01,7.000000000000000000e+01,2.639000000000000057e+01
3.800000000000000000e+01,7.000000000000000000e+01,2.671000000000000085e+01
3.900000000000000000e+01,7.000000000000000000e+01,2.703000000000000114e+01
4.000000000000000000e+01,7.000000000000000000e+01,2.735000000000000142e+01
4.100000000000000000e+01,7.000000000000000000e+01,2.735000000000000142e+01
4.200000000000000000e+01,7.000000000000000000e+01,2.767000000000000171e+01
4.300000000000000000e+01,7.000000000000000000e+01,2.800000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,2.832000000000000028e+01
4.500000000000000000e+01,7.000000000000000000e+01,2.864000000000000057e+01
4.600000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01
4.700000000000000000e+01,7.000000000000000000e+01,2.896000000000000085e+01
4.800000000000000000e+01,7.000000000000000000e+01,2.928999999999999915e+01
4.900000000000000000e+01,7.000000000000000000e+01,2.960999999999999943e+01
5.000000000000000000e+01,7.000000000000000000e+01,2.992999999999999972e+01
5.100000000000000000e+01,7.000000000000000000e+01,3.025000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,3.057000000000000028e+01
5.300000000000000000e+01,7.000000000000000000e+01,3.057000000000000028e+01
5.400000000000000000e+01,7.000000000000000000e+01,3.121999999999999886e+01
5.500000000000000000e+01,7.000000000000000000e+01,3.153999999999999915e+01
5.600000000000000000e+01,7.000000000000000000e+01,3.153999999999999915e+01
5.700000000000000000e+01,7.000000000000000000e+01,3.185999999999999943e+01
5.800000000000000000e+01,7.000000000000000000e+01,3.218999999999999773e+01
5.900000000000000000e+01,7.000000000000000000e+01,3.250999999999999801e+01
6.000000000000000000e+01,7.000000000000000000e+01,3.314999999999999858e+01
6.100000000000000000e+01,7.000000000000000000e+01,3.282999999999999829e+01
6.200000000000000000e+01,7.000000000000000000e+01,3.314999999999999858e+01
6.300000000000000000e+01,7.000000000000000000e+01,3.347999999999999687e+01
6.400000000000000000e+01,7.000000000000000000e+01,3.379999999999999716e+01
6.500000000000000000e+01,7.000000000000000000e+01,3.411999999999999744e+01
6.600000000000000000e+01,7.000000000000000000e+01,3.411999999999999744e+01
6.700000000000000000e+01,7.000000000000000000e+01,3.443999999999999773e+01
6.800000000000000000e+01,7.000000000000000000e+01,3.475999999999999801e+01
6.900000000000000000e+01,7.000000000000000000e+01,3.509000000000000341e+01
7.000000000000000000e+01,7.000000000000000000e+01,3.509000000000000341e+01
7.100000000000000000e+01,7.000000000000000000e+01,3.540999999999999659e+01
7.200000000000000000e+01,7.000000000000000000e+01,3.572999999999999687e+01
7.300000000000000000e+01,7.000000000000000000e+01,3.604999999999999716e+01
7.400000000000000000e+01,7.000000000000000000e+01,3.604999999999999716e+01
7.500000000000000000e+01,7.000000000000000000e+01,3.638000000000000256e+01
7.600000000000000000e+01,7.000000000000000000e+01,3.670000000000000284e+01
7.700000000000000000e+01,7.000000000000000000e+01,3.702000000000000313e+01
7.800000000000000000e+01,7.000000000000000000e+01,3.734000000000000341e+01
7.900000000000000000e+01,7.000000000000000000e+01,3.734000000000000341e+01
8.000000000000000000e+01,7.000000000000000000e+01,3.767000000000000171e+01
8.100000000000000000e+01,7.000000000000000000e+01,3.799000000000000199e+01
8.200000000000000000e+01,7.000000000000000000e+01,3.831000000000000227e+01
8.300000000000000000e+01,7.000000000000000000e+01,3.863000000000000256e+01
8.400000000000000000e+01,7.000000000000000000e+01,3.863000000000000256e+01
