No.,Name,Formula,CASN,Family,Source_Type,Data_Type,Uncertanity of experimental data,Par (calc./est.),AD%<,Status,Par(1),Par(2),Par(3),Par(4),Par(5),Par(6),Par(7),Par(8),Par(9),Par(10),Par(11),Par(12),Par(13),Par(14),Par(15),Par(16),Par(17),Par(18),Par(19),Par(20),Par(21),Par(22),Par(23),Par(24),Par(25),Par(26),Par(27),Par(28),Par(29),Par(30),Par(31),Par(32),Par(33),Par(34),Par(35),Par(36),Par(37),Par(38),Par(39),Par(40)
5,n-BUTANE,C4H10,106-97-8,N-ALKANES,Unevaluated,Experimental,< 1%,196.7649497,4,test,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,n-HEXANE,C6H14,110-54-3,N-ALKANES,Unevaluated,Experimental,< 1%,273.3694892,1,test,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,n-OCTANE,C8H18,111-65-9,N-ALKANES,Unevaluated,Experimental,< 1%,351.0412968,1,test,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3-METHYLHEPTANE,C8H18,589-81-1,METHYLALKANES,Unevaluated,Experimental,< 1%,348.5236683,1,test,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,n-NONANE,C9H20,111-84-2,N-ALKANES,Evaluated,Smoothed,< 5%,390.2473269,1,test,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,n-UNDECANE,C11H24,1120-21-4,N-ALKANES,Evaluated,Smoothed,< 5%,469.3369594,1,test,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,CYCLOHEXANE,C6H12,110-82-7,CYCLOALKANES,Evaluated,Smoothed,< 5%,234.5910659,3,test,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ISOPROPYLCYCLOHEXANE,C9H18,696-29-7,ALKYLCYCLOHEXANES,Evaluated,Smoothed,< 5%,357.9407322,1,test,2,5,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"2,6-DIMETHYLHEPTANE",C9H20,1072-05-5,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,385.7055843,1,test,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ETHYLENE,C2H4,74-85-1,1-ALKENES,Evaluated,Smoothed,< 5%,113.2892365,14,test,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,m-XYLENE,C8H10,108-38-3,OTHER ALKYLBENZENES,Evaluated,Smoothed,< 5%,285.9691634,1,test,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,n-PROPYLBENZENE,C9H12,103-65-1,N-ALKYLBENZENES,Evaluated,Smoothed,< 5%,320.255218,1,test,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,n-PENTYLBENZENE,C11H16,538-68-1,N-ALKYLBENZENES,Evaluated,Smoothed,< 5%,402.5293688,1,test,1,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,ACENAPHTHENE,C12H10,83-32-9,OTHER CONDENSED RINGS,Evaluated,Smoothed,< 5%,373.9527956,3,test,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,CAMPHENE,C10H16,79-92-5,OTHER HYDROCARBON RINGS,Unevaluated,Experimental,< 1%,360.8004475,1,test,2,3,2,1,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,GLYOXAL,C2H2O2,107-22-2,ALDEHYDES,Staff,Predicted,< 10%,132.0699226,1,test,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
177,5-HEXEN-2-ONE,C6H10O,109-49-9,KETONES,Staff,Predicted,< 5%,268.2367892,1,test,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
179,ETHYL ISOBUTYL ETHER,C6H14O,627-02-1,ALIPHATIC ETHERS,Staff,Predicted,< 10%,287.8083865,1,test,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0
180,MELAMINE,C3H6N6,108-78-1,AROMATIC AMINES,Staff,Predicted,< 10%,269.7683132,1,test,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
200,n-CROTYL ACETATE,C6H10O2,628-08-0,ACETATES,Staff,Predicted,< 10%,304.8184496,1,test,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0
204,"1,5-PENTANEDIAMINE",C5H14N2,462-94-2,"OTHER AMINES, IMINES",Staff,Predicted,< 10%,289.1254433,1,test,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,0,0
211,TETRAETHOXYSILANE,C8H20O4Si,78-10-4,SILANES/SILOXANES,Staff,Predicted,< 1%,477.6728594,1,test,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,12,0,0,0,4,0,0
1,METHANE,CH4,74-82-8,N-ALKANES,Unevaluated,Experimental,< 1%,94.90173353,32,training,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ETHANE,C2H6,74-84-0,N-ALKANES,Unevaluated,Experimental,< 1%,121.3192129,10,training,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PROPANE,C3H8,74-98-6,N-ALKANES,Unevaluated,Experimental,< 1%,158.8917459,6,training,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ISOBUTANE,C4H10,75-28-5,METHYLALKANES,Evaluated,Smoothed,< 5%,189.9865354,1,training,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,n-PENTANE,C5H12,109-66-0,N-ALKANES,Evaluated,Smoothed,< 5%,234.9279528,2,training,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,ISOPENTANE,C5H12,78-78-4,METHYLALKANES,Evaluated,Smoothed,< 5%,229.2599099,1,training,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2-METHYLPENTANE,C6H14,107-83-5,METHYLALKANES,Evaluated,Smoothed,< 5%,268.7826761,1,training,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"2,3-DIMETHYLBUTANE",C6H14,79-29-8,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,263.8245083,1,training,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,n-HEPTANE,C7H16,142-82-5,N-ALKANES,Evaluated,Smoothed,< 5%,312.0779267,1,training,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2-METHYLHEXANE,C7H16,591-76-4,METHYLALKANES,Evaluated,Smoothed,< 5%,308.5417065,1,training,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3-METHYLHEXANE,C7H16,589-34-4,METHYLALKANES,Evaluated,Smoothed,< 5%,308.5417065,1,training,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3-ETHYLPENTANE,C7H16,617-78-7,OTHER ALKANES,Evaluated,Smoothed,< 5%,308.5417065,2,training,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"2,2-DIMETHYLPENTANE",C7H16,590-35-2,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,303.0344419,1,training,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"2,3-DIMETHYLPENTANE",C7H16,565-59-3,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,304.2670187,1,training,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"2,4-DIMETHYLPENTANE",C7H16,108-08-7,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,304.2670187,2,training,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"3,3-DIMETHYLPENTANE",C7H16,562-49-2,DIMETHYLALKANES,Evaluated,Smoothed,< 5%,303.0344419,1,training,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"2,2,3-TRIMETHYLBUTANE",C7H16,464-06-2,OTHER ALKANES,Unevaluated,Experimental,< 1%,302.0673078,2,training,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2-METHYLHEPTANE,C8H18,592-27-8,METHYLALKANES,Unevaluated,Experimental,< 1%,348.5236683,1,training,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,4-METHYLHEPTANE,C8H18,589-53-7,METHYLALKANES,Unevaluated,Experimental,< 1%,348.5236683,1,training,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
